"","X","Y","offense","year"
"1",-71.108931,42.387517,"BURGLARY/BREAKING AND ENTERING",2005
"2",-71.116846,42.396071,"BURGLARY/BREAKING AND ENTERING",2005
"3",-71.131065,42.413007,"MOTOR VEHICLE THEFT",2005
"4",-71.096267,42.395044,"BURGLARY/BREAKING AND ENTERING",2005
"5",-71.082965,42.374031,"THEFT FROM MOTOR VEHICLE",2005
"6",-71.130812,42.410732,"ROBBERY",2005
"7",-71.089362,42.385111,"MOTOR VEHICLE THEFT",2005
"8",-73.0576705,43.7794686,"THEFT FROM MOTOR VEHICLE",2005
"9",-71.095188,42.396902,"BURGLARY/BREAKING AND ENTERING",2005
"10",-71.094374,42.385167,"BURGLARY/BREAKING AND ENTERING",2005
"11",-71.097365,42.396208,"BURGLARY/BREAKING AND ENTERING",2005
"12",-71.090395,42.38653,"BURGLARY/BREAKING AND ENTERING",2005
"13",-71.103538,42.382343,"BURGLARY/BREAKING AND ENTERING",2005
"14",-71.096872,42.377903,"BURGLARY/BREAKING AND ENTERING",2005
"15",-71.080971,42.386234,"MOTOR VEHICLE THEFT",2005
"16",-71.128555,42.40509,"MOTOR VEHICLE THEFT",2005
"17",-71.129742,42.404714,"MOTOR VEHICLE THEFT",2005
"18",-71.086967,42.390737,"ROBBERY",2005
"19",-71.10629,42.379103,"THEFT FROM MOTOR VEHICLE",2005
"20",-71.083136,42.393185,"MOTOR VEHICLE THEFT",2005
"21",-71.082965,42.374031,"MOTOR VEHICLE THEFT",2005
"22",-71.08621,42.38813,"THEFT FROM MOTOR VEHICLE",2005
"23",-71.096505,42.385382,"BURGLARY/BREAKING AND ENTERING",2005
"24",-71.114189,42.387554,"MOTOR VEHICLE THEFT",2005
"25",-71.081059,42.385053,"MOTOR VEHICLE THEFT",2005
"26",-71.081059,42.385053,"MOTOR VEHICLE THEFT",2005
"27",-71.085579,42.388646,"THEFT FROM MOTOR VEHICLE",2005
